0.95,65.412,1,59.671,1,68.876,0.9,150.49,0.7,0.8,0.8,50.39,0.8,40,0.95,34.078,0.9,90,0.92,90,0.85,37.43,0.85,69,1.025,34.283,0.47701,0.12457,0.37018,0.2122,0.13425,0.21737,0.16705,0.32275,0.1794,0.2117,0.1541,0.41163,1.7255e+05
1.0256,65.412,1,59.671,1,68.876,0.9,150.49,0.7,0.8,0.8,50.39,0.8,40,0.95,34.078,0.9,90,0.92,90,0.85,37.43,0.85,69,1.025,34.283,0.4659,0.14083,0.37029,0.21228,0.11139,0.20999,0.14771,0.38835,0.18637,0.25478,0.1543,0.41178,1.9172e+05
0.95,83.375,1,59.671,1,68.876,0.9,150.49,0.7,0.8,0.8,50.39,0.8,40,0.95,34.078,0.9,90,0.92,90,0.85,37.43,0.85,69,1.025,34.283,0.47716,0.12594,0.37018,0.2122,0.13132,0.21987,0.1654,0.32918,0.18598,0.28988,0.14984,0.40729,1.7588e+05
0.95,65.412,1.0464,59.671,1,68.876,0.9,150.49,0.7,0.8,0.8,50.39,0.8,40,0.95,34.078,0.9,90,0.92,90,0.85,37.43,0.85,69,1.025,34.283,0.47308,0.12689,0.35505,0.21237,0.13424,0.2173,0.16653,0.32282,0.20754,0.23799,0.15366,0.40443,2.0304e+05
0.95,65.412,1,68.908,1,68.876,0.9,150.49,0.7,0.8,0.8,50.39,0.8,40,0.95,34.078,0.9,90,0.92,90,0.85,37.43,0.85,69,1.025,34.283,0.47696,0.12465,0.36946,0.21223,0.13438,0.21814,0.16704,0.32277,0.1794,0.21182,0.154,0.41139,1.7252e+05
0.95,65.412,1,59.671,1.0464,68.876,0.9,150.49,0.7,0.8,0.8,50.39,0.8,40,0.95,34.078,0.9,90,0.92,90,0.85,37.43,0.85,69,1.025,34.283,0.45051,0.12845,0.32143,0.20742,0.13483,0.21603,0.16233,0.31871,0.18008,0.21196,0.15654,0.36925,1.9848e+05
0.95,65.412,1,59.671,1,80.928,0.9,150.49,0.7,0.8,0.8,50.39,0.8,40,0.95,34.078,0.9,90,0.92,90,0.85,37.43,0.85,69,1.025,34.283,0.47344,0.12562,0.36479,0.21168,0.13421,0.21722,0.16694,0.32242,0.17931,0.20636,0.15379,0.40911,1.715e+05
0.95,65.412,1,59.671,1,68.876,0.93448,150.49,0.7,0.8,0.8,50.39,0.8,40,0.95,34.078,0.9,90,0.92,90,0.85,37.43,0.85,69,1.025,34.283,0.47701,0.12457,0.37018,0.2122,0.13425,0.21737,0.16705,0.32275,0.1794,0.2117,0.1541,0.41163,1.7255e+05
0.95,65.412,1,59.671,1,68.876,0.9,171.02,0.7,0.8,0.8,50.39,0.8,40,0.95,34.078,0.9,90,0.92,90,0.85,37.43,0.85,69,1.025,34.283,0.47701,0.12457,0.37018,0.2122,0.13425,0.21737,0.16705,0.32275,0.1794,0.2117,0.1541,0.41163,1.7255e+05
0.95,65.412,1,59.671,1,68.876,0.9,150.49,0.73448,0.8,0.8,50.39,0.8,40,0.95,34.078,0.9,90,0.92,90,0.85,37.43,0.85,69,1.025,34.283,0.47701,0.12457,0.37018,0.2122,0.13425,0.21737,0.16705,0.32275,0.1794,0.2117,0.1541,0.41163,1.7255e+05
0.95,65.412,1,59.671,1,68.876,0.9,150.49,0.7,0.82666,0.8,50.39,0.8,40,0.95,34.078,0.9,90,0.92,90,0.85,37.43,0.85,69,1.025,34.283,0.47701,0.12457,0.37018,0.2122,0.13425,0.21737,0.16705,0.32275,0.1794,0.2117,0.1541,0.41163,1.7255e+05
0.95,65.412,1,59.671,1,68.876,0.9,150.49,0.7,0.8,0.82666,50.39,0.8,40,0.95,34.078,0.9,90,0.92,90,0.85,37.43,0.85,69,1.025,34.283,0.47701,0.12457,0.37018,0.2122,0.13425,0.21737,0.16705,0.32275,0.1794,0.2117,0.1541,0.41163,1.7255e+05
